Order ID,Order Date,Region,Product,Category,Quantity,Unit Price,Sales,Cost,Profit
100001,2024-01-01,North,Tablet,Electronics,4,296.35,1185.4,936.66,248.74
100002,2024-01-01,South,Laptop,Electronics,6,748.98,4493.88,3288.85,1205.03
100003,2024-01-01,North,Desk Organizer,Office Supplies,2,26.96,53.92,42.69,11.23
100004,2024-01-01,North,Paper Ream,Office Supplies,2,24.82,49.64,40.59,9.05
100005,2024-01-01,North,Smartphone,Electronics,3,535.57,1606.71,1140.37,466.34
100006,2024-01-01,South,Monitor,Electronics,1,811.16,811.16,579.7,231.46
100007,2024-01-01,North,Pen Set,Office Supplies,1,7.74,7.74,5.72,2.02
100008,2024-01-01,West,Headphones,Electronics,6,655.96,3935.76,2864.16,1071.6
100009,2024-01-01,East,Laptop,Electronics,4,205.03,820.12,621.9,198.22
100010,2024-01-01,West,Bookshelf,Furniture,3,477.36,1432.08,1119.03,313.05
100011,2024-01-01,South,Tablet,Electronics,3,187.3,561.9,393.8,168.1
100012,2024-01-02,North,Headphones,Electronics,2,227.92,455.84,361.71,94.13
100013,2024-01-02,North,Bookshelf,Furniture,2,259.37,518.74,432.15,86.59
100014,2024-01-02,East,Headphones,Electronics,2,543.6,1087.2,852.57,234.63
100015,2024-01-02,North,Office Chair,Furniture,2,266.76,533.52,375.98,157.54
100016,2024-01-02,East,Desk Organizer,Office Supplies,6,37.0,222.0,163.7,58.3
100017,2024-01-02,East,Pen Set,Office Supplies,5,18.81,94.05,78.95,15.1
100018,2024-01-02,North,Laptop,Electronics,1,824.97,824.97,600.57,224.4
100019,2024-01-02,East,Laptop,Electronics,3,667.19,2001.57,1469.53,532.04
100020,2024-01-02,North,Bookshelf,Furniture,4,430.62,1722.48,1337.7,384.78
100021,2024-01-02,West,Stapler,Office Supplies,1,53.84,53.84,41.88,11.96
100022,2024-01-02,South,Bookshelf,Furniture,2,306.42,612.84,452.13,160.71
100023,2024-01-02,South,Stapler,Office Supplies,1,38.56,38.56,27.29,11.27
100024,2024-01-02,North,Pen Set,Office Supplies,2,16.24,32.48,25.12,7.36
100025,2024-01-02,South,Headphones,Electronics,5,341.26,1706.3,1356.56,349.74
100026,2024-01-03,West,Conference Table,Furniture,4,212.8,851.2,671.29,179.91
100027,2024-01-03,South,Stapler,Office Supplies,1,41.54,41.54,34.91,6.63
100028,2024-01-03,North,Smartphone,Electronics,3,285.39,856.17,711.99,144.18
100029,2024-01-03,East,Bookshelf,Furniture,4,340.15,1360.6,971.42,389.18
100030,2024-01-03,North,Monitor,Electronics,1,783.17,783.17,589.24,193.93
100031,2024-01-03,East,Headphones,Electronics,4,713.6,2854.4,2067.28,787.12
100032,2024-01-03,West,Paper Ream,Office Supplies,3,4.85,14.55,11.63,2.92
100033,2024-01-03,South,Standing Desk,Furniture,6,181.12,1086.72,813.75,272.97
100034,2024-01-03,South,Desk Organizer,Office Supplies,3,54.15,162.45,127.56,34.89
100035,2024-01-03,East,Desk Organizer,Office Supplies,2,56.64,113.28,94.45,18.83
100036,2024-01-03,West,Paper Ream,Office Supplies,1,33.4,33.4,25.85,7.55
100037,2024-01-03,East,Laptop,Electronics,4,325.65,1302.6,1095.58,207.02
100038,2024-01-04,West,Smartphone,Electronics,1,963.94,963.94,798.1,165.84
100039,2024-01-04,North,Laptop,Electronics,1,801.79,801.79,673.84,127.95
100040,2024-01-04,West,Notebook,Office Supplies,1,10.7,10.7,9.08,1.62
100041,2024-01-04,West,Conference Table,Furniture,3,493.46,1480.38,1116.09,364.29
100042,2024-01-04,West,Stapler,Office Supplies,1,55.01,55.01,46.04,8.97
100043,2024-01-04,North,Notebook,Office Supplies,4,47.48,189.92,158.3,31.62
